Season_Year,Player,Team,Pred_Stick_Proba,Stick_NBA
2022,Adama Sanogo,Connecticut,0.1778,0
2022,Jalen Wilson,Kansas,0.1768,0
2022,Jaylen Clark,UCLA,0.1679,0
2022,Kobe Bufkin,Michigan,0.1619,0
2022,Colby Jones,Xavier,0.1571,0
2022,Jalen Pickett,Penn State,0.1535,0
2022,Kris Murray,Iowa,0.1252,0
2022,Terquavion Smith,NC State,0.1141,0
2022,Jordan Hawkins,Connecticut,0.1113,0
2022,Amari Bailey,UCLA,0.1037,0
2022,Trayce Jackson-Davis,Indiana,0.0964,0
2022,Jordan Miller,Miami (FL),0.0944,0
2022,Keyontae Johnson,Kansas State,0.0916,0
2022,Brice Sensabaugh,Ohio State,0.0887,0
2022,Isaiah Wong,Miami (FL),0.0814,0
2022,Marcus Sasser,Houston,0.0812,0
2023,Reed Sheppard,Kentucky,0.94,1
2023,Donovan Clingan,Connecticut,0.8185,1
2023,Ryan Dunn,Virginia,0.6467,1
2023,Kyle Filipowski,Duke,0.6403,1
2023,Devin Carter,Providence,0.6334,0
2023,Kel'el Ware,Indiana,0.629,1
2023,Jaylon Tyson,California,0.6274,0
2023,KJ Simpson,Colorado,0.5834,0
2023,DaRon Holmes II,Dayton,0.4013,0
2023,Cam Spencer,Connecticut,0.3959,0
2023,Adem Bona,UCLA,0.3944,0
2023,Jahmir Young,Maryland,0.373,0
2023,Riley Minix,Morehead State,0.3463,0
2023,Terrence Shannon Jr.,Illinois,0.3386,0
2023,Isaiah Crawford,Louisiana Tech,0.3355,0
2023,Jonathan Mogbo,San Francisco,0.3242,0
2023,Stephon Castle,Connecticut,0.2884,1
2023,Kevin McCullar Jr.,Kansas,0.2832,0
2023,Dalton Knecht,Tennessee,0.2766,0
2023,Quincy Olivari,Xavier,0.2678,0
2023,Rob Dillingham,Kentucky,0.2262,0
2023,Johnny Furphy,Kansas,0.2256,0
2023,Tristen Newton,Connecticut,0.2148,0
2023,Anton Watson,Gonzaga,0.2144,0
2023,Zach Edey,Purdue,0.2085,1
2023,Jaylin Williams,Auburn,0.2008,0
2023,Tyler Kolek,Marquette,0.1888,0
2023,Ajay Mitchell,UC Santa Barbara,0.1562,1
2023,Enrique Freeman,Akron,0.142,0
2023,Isaiah Collier,Southern California,0.1371,0
2024,Thomas Sorber,Georgetown,0.9374,1
2024,Kon Knueppel,Duke,0.9312,1
2024,Jase Richardson,Michigan State,0.9229,0
2024,V.J. Edgecombe,Baylor,0.916,1
2024,Dylan Harper,Rutgers,0.8997,1
2024,Collin Murray-Boyles,South Carolina,0.874,1
2024,Cooper Flagg,Duke,0.79,1
2024,Derik Queen,Maryland,0.7078,1
2024,Danny Wolf,Michigan,0.5354,0
2024,Nique Clifford,Colorado State,0.4899,1
2024,Walter Clayton Jr.,Florida,0.4746,0
2024,Carter Bryant,Arizona,0.4211,0
2024,Asa Newell,Georgia,0.4105,0
2024,Khaman Maluach,Duke,0.407,0
2024,Jeremiah Fears,Oklahoma,0.3498,1
2024,Javon Small,West Virginia,0.3114,0
2024,Tre Johnson,Texas,0.2755,1
2024,Hunter Dickinson,Kansas,0.2302,0
2024,Johni Broome,Auburn,0.2282,0
2024,Ryan Kalkbrenner,Creighton,0.2072,1
2024,Rasheer Fleming,Saint Joseph's,0.168,0
2024,Cedric Coward,Washington State,0.104,1
2024,Will Riley,Illinois,0.0982,0
2024,Will Richard,Florida,0.0771,1
2024,Liam McNeeley,Connecticut,0.0705,0
2024,Hunter Sallis,Wake Forest,0.0619,0
2024,Micah Peavy,Georgetown,0.0491,0
2024,Josh Smith,North Carolina Central,0.0483,0
2024,Jamir Watkins,Florida State,0.0459,0
2024,Taelon Peter,Liberty,0.0442,0
